country,job_title,company_name,location,job_url,job_description
Belgium,AI Infrastructure Engineer,,,https://www.linkedin.com/jobs/view/4325608563/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=xiX8zDA5vDww%2B9HE3nyxHg%3D%3D&trackingId=1Z5QfNtyvAMazlWtPDEZjw%3D%3D&trk=flagship3_search_srp_jobs,"You will work closely with ML engineers, data scientists, and DevOps teams to ensure scalable, high-performance, and reliable AI pipelines.
Responsibilities
Design, deploy, and maintain GPU/TPU clusters, high-performance computing systems, and cloud infrastructure for AI workloads.
… more"
Belgium,Freelance AI Engineer,,,https://www.linkedin.com/jobs/view/4364579560/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=xiX8zDA5vDww%2B9HE3nyxHg%3D%3D&trackingId=fXRKkiJsv2lnbx8yUdja1g%3D%3D&trk=flagship3_search_srp_jobs,"Join a dynamic project supporting a leading European AI company in building and maintaining advanced large language model (LLM) inference platforms for enterprise and government clients. This role focuses on ensuring the reliability, scalability, and performance of LLM inference services, with a strong emphasis on Kubernetes-based orchestration and modern cloud infrastructure. You will collaborate with cross-functional teams to integrate, operate, and optimize LLM inference APIs, playing a key part in the delivery of robust AI solutions at scale.

Twine is a leading freelance marketplace connecting top freelancers, consultants, and contractors with companies needing creative and tech expertise. Trusted by Fortune 500 companies and innovative startups alike, Twine enables companies to scale their teams globally.

Twine's mission is to empower creators and businesses to thrive in an AI-driven, freelance-first world.
… more"
